a,b,c
38.07947176588889,19.328159955023345,42.70391009282519
95.1207163345817,54.648193790457455,109.7013024560937
73.46740023932911,87.42163775176442,114.19282659224483
60.26718993550662,73.49026375454656,95.04184893737732
16.445845403801215,80.84955363828352,82.50524925454994
16.443457513284063,66.21955330436101,68.23061288615462
6.750277604651747,69.5353798872674,69.8622595097414
86.75143843171858,85.0703695049666,121.50218038242693
60.510386162577674,25.71713287705941,65.74859509495698
71.09918520180851,49.45307140067091,86.60658408759072
3.0378649352844422,22.89973474014062,23.10035658888914
97.02107536403744,98.77913279166805,138.4572357801073
83.41182143924175,94.46187462897471,126.01816422338521
22.02157195714934,4.903254325482084,22.56084072999641
19.00067175350296,70.85194207905316,73.35545803454484
19.15704647548995,92.59958342415092,94.56043189405581
31.119982052994235,18.87695916760602,36.39770419125564
52.950886731591545,57.22657782471032,77.96587468366828
43.76255684556946,91.63334146121615,101.54718434801397
29.83168487960615,4.360651879994085,30.14870988242479
61.573436577515565,70.04460645743715,93.26057573134845
14.809892204552142,30.437551729882525,33.84933474116927
29.922320204986598,92.51522334227651,97.23379966102866
37.269822486075476,97.1347662713714,104.03942755867858
46.150928437486556,94.48238242222996,105.15145640371566
78.73242017790835,47.947207449088914,92.18312583784886
20.767704433677615,86.34222244794204,88.80471228878847
51.909209402947546,84.61039045497196,99.26471776911406
59.64904231734221,32.59094685108231,67.97189173493815
5.598590859279775,83.06263194091706,83.25109635651573
61.146940338242395,4.6637558368337695,61.32453775801474
17.88188824504186,60.03071796972325,62.637441096908006
7.4401077055426725,23.770874891482602,24.90802472651321
94.93966818807999,12.936121691950602,95.81692877613894
96.59757127438138,8.618366961291706,96.98127151769395
81.03133746352965,69.93258881193583,107.0357166046349
31.156763148163698,34.64762141303855,46.59615391265699
10.669539286632004,72.75191038134739,73.53012670140441
68.73906962470353,7.470277739095295,69.14379756976805
44.57509688022053,32.21374344523042,54.9969501757704
13.081785249633104,54.40963794515839,55.960180545104905
50.02251410101575,79.2815933190574,93.74338886660075
4.404463590406621,32.55649779027492,32.853079732155905
91.02271980579943,62.9632462672639,110.67748597324206
26.619218178401674,88.71179707538252,92.61946726673176
66.58970615104421,61.97045563004815,90.964423464771
31.859396532851683,24.062988000609742,39.92553742850521
52.48673409660327,3.415677374097264,52.59775763330084
55.12431765498469,87.13978851619206,103.11175073469722
19.300591097027176,3.1056716741883266,19.5488621981562
96.9888781486913,87.59546559573575,130.68973975594034
77.73814951275034,53.36477626869399,94.2922013523626
94.01039521485473,93.96770215277672,132.92059079136737
89.58790769233724,80.07954034159287,120.16124993529128
60.19209790229743,99.7954769428004,116.54280702008496
92.26554926728856,35.720469729719305,98.93878682956571
9.76075770314003,76.95164060418156,77.56821116033636
20.402303379495375,40.79116044731497,45.608910903764865
5.477501602143269,48.507686410086976,48.8159673125589
33.20770274556317,63.12304085861864,71.32509943124174
39.47905167925872,87.49403430444754,95.98854911061748
27.863554145615694,98.42426345073022,102.29229338246556
83.04501340604101,77.0590679725873,113.28977980565308
36.31857934266534,42.35891143456604,55.79710192645212
28.812516459050695,42.71434322542995,51.5235501676942
54.7269122326666,74.02064785730026,92.05482731359851
14.951498272501501,24.63893743106193,28.820557564426124
80.41750109464992,11.936937200008071,81.29861592933153
8.380513724297312,36.10759360643688,37.06738898723158
98.70180672345121,29.436660173754092,102.99788159306287
77.45223216036908,30.334503925143018,83.18070927209162
20.67285247188307,24.127167353941083,31.77242568406325
1.5466895952366375,5.167225773999826,5.393743681665025
81.73068141702858,2.769519538607967,81.77759181686969
70.9788770409141,98.78451658386712,121.64037858662525
73.17170963605774,43.34954023985037,85.0487021069102
77.35576432190862,39.048338068808484,86.65268016491255
8.330420521674945,68.28508098661392,68.79133805513864
36.48810712588299,22.607134898641352,42.923938658460514
12.471036892987842,95.04615721107231,95.86083017467634
86.44723916168375,78.84815642713966,117.00494404355756
62.70651455592824,9.851689228913692,63.47568627762865
33.75890446041227,42.34049680270791,54.15146627624558
7.29227667831634,88.03271244865431,88.33422756904919
31.787249849850557,94.52847020684962,99.72994000130593
33.19314888064796,47.272749613737105,57.7624271361232
73.23101165546834,61.72772753186006,95.77626749007759
64.1181896641661,17.53636066311545,66.47304860706208
88.83406151505633,99.12569398756068,133.106700409019
47.74927759103298,23.935498436960895,53.41256028212167
12.83983034789187,94.33044563937744,95.20028475737975
71.6112339350765,65.31501825024448,96.92378673336087
76.31771981307284,61.165942693007054,97.80422742903761
56.56644255938013,51.75616259063435,76.67113400708136
77.32575081550154,23.83631136005811,80.91626213830365
49.88576404007468,18.476275168545317,53.197389014554204
52.750550108817414,22.82813469794736,57.478206918539875
43.326560817496414,19.4573879522812,47.49506098740998
3.5164935476654238,78.17886288310858,78.25790904801039
11.681251272337141,35.66240065750628,37.526769804287476
4.111489382986691,6.72642497977624,7.883472455394899
64.00463071511426,96.94116038394033,116.16445811677076
32.12124212655634,88.49480261137914,94.14406133676098
51.34849842530557,92.84747603632609,106.10052825905136
90.84908091868321,99.49587444199709,134.73301204510756
25.67993068573862,18.215629672729243,31.4844089097819
41.62790938052734,40.22795987136322,57.88930466679839
75.79956271576182,76.06560909470504,107.38505759578092
23.651018383670625,69.90604118732543,73.79854514195226
8.621011073050507,16.23569472764565,18.382590002797762
29.685393838463035,81.76747937407116,86.98932860146589
